metric_code,department,business_date,reference,legacy_value,pms_value,tolerance,notes
RESERVATIONS,Front Office,2026-08-01,Daily total,42,42,0,
ROOM_NIGHTS,Front Office,2026-08-01,Occupied rooms,38,38,0,
ROOM_REVENUE,Finance,2026-08-01,Room revenue,47500000,47500000,1,
TAX_TOTAL,Finance,2026-08-01,PBJT and configured taxes,4750000,4750000,1,
PAYMENTS,Finance,2026-08-01,Submitted payments,31250000,31250000,1,
DEPOSITS,Finance,2026-08-01,Guest deposits held,10000000,10000000,1,
REFUNDS,Finance,2026-08-01,Refunds issued,500000,500000,1,
AR_OUTSTANDING,Finance,2026-08-01,Outstanding receivables,21000000,21000000,1,
CASHIER_CASH,Finance,2026-08-01,Cash expected versus counted,12500000,12500000,1,
FNB_REVENUE,F&B,2026-08-01,Restaurant revenue,8250000,8250000,1,
STOCK_MOVEMENT,F&B,2026-08-01,Stock movement value,3100000,3100000,1,
